especie,org,long_total,long_estandar,long_cefalica,diam_ojo,long_hocico,long_mandibular,long_postorbital,long_pedunculo_caudal,Long_base_aleta_anal,dist_hocico_1a_aleta_dorsal,dist_hocico_2a_aleta_dorsal,dist_hocico_aleta_pelvica,long_base_aleta_pelvica,alt_máxima_cuerpo,alt_min_pedunculo_caudal,alt_aleta_anal,alt_aleta_pectoral,alt_1a_aleta_dorsal,alt_2a_aleta_dorsal
especie7,32,78,63,18,5,5,6,6,13,13,35,44,28,4,13,7,12,12,6,12
especie7,33,73,65,17,6,6,7,8,14,16,33,44,28,4,12,6,11,12,6,10
especie7,34,73,61,18,6,5,6,6,12,14,30,43,26,4,11,5,11,12,6,10
especie7,35,73,64,17,5,5,7,7,14,17,33,42,28,4,12,5,14,13,7,12
especie7,36,69,61,18,6,6,7,7,14,13,30,41,26,4,13,6,12,13,6,10
especie7,37,68,60,19,5,5,6,6,12,13,33,43,28,4,12,5,12,12,6,12
especie7,38,81,69,17,5,5,7,7,14,18,36,44,30,4,12,6,12,13,7,10
especie7,39,78,64,18,6,7,7,7,12,14,33,42,30,4,13,7,12,12,7,12
especie7,40,82,67,17,5,5,6,7,13,17,35,44,31,4,13,7,14,12,7,11
especie7,41,73,62,17,6,6,7,7,12,13,30,41,26,4,12,5,11,12,7,10
especie7,42,75,63,18,5,5,6,6,12,13,34,44,28,4,11,5,11,11,6,11
especie7,43,77,63,18,5,5,7,7,13,14,33,43,28,4,13,6,11,11,6,10
especie7,44,78,68,17,5,6,7,7,15,18,37,44,31,4,12,5,12,12,6,11
especie7,45,73,61,18,6,6,7,8,13,15,30,42,26,4,11,6,12,11,7,12
especie7,46,70,60,18,5,5,6,7,13,13,30,41,28,4,12,6,11,12,7,12
especie7,47,81,66,17,5,5,7,7,14,17,33,42,28,4,12,5,15,13,6,12
especie7,48,78,64,17,6,6,7,7,13,14,35,41,30,4,12,6,12,13,7,12
especie7,49,74,64,18,5,5,7,7,14,14,37,43,28,4,13,6,12,11,7,11
especie7,50,78,68,17,5,6,7,7,14,17,37,44,31,4,11,5,14,13,6,11
especie7,51,80,66,17,5,6,7,8,14,16,33,44,28,4,12,6,11,12,6,10
especie7,52,84,72,18,6,5,7,7,16,16,38,47,31,4,12,6,10,13,8,10
especie7,53,86,77,18,6,6,8,8,16,18,40,49,34,4,13,7,13,13,7,12
especie7,54,83,70,18,5,5,7,7,17,16,37,46,30,4,12,6,12,12,7,10
especie7,55,83,70,18,5,6,7,8,16,15,35,45,30,4,13,5,11,12,7,10
especie7,56,81,68,17,5,5,7,7,15,15,33,43,29,4,11,6,12,12,6,10
especie7,57,85,72,18,5,6,8,7,16,16,38,47,31,4,13,6,13,15,6,10
especie7,58,86,73,17,5,5,7,7,16,17,37,48,31,4,13,7,12,14,7,11
especie7,59,94,80,20,5,6,7,8,17,17,41,52,34,4,13,6,13,15,7,11
especie7,60,88,73,13,5,5,7,7,17,17,35,45,33,4,11,5,12,13,5,11
especie7,61,89,75,19,6,6,8,7,15,17,40,48,32,4,12,6,13,12,6,11
especie7,62,85,72,17,5,5,7,7,13,16,37,47,32,4,13,6,12,12,6,12
especie7,63,79,68,23,6,5,7,7,14,14,34,43,29,4,12,6,11,11,6,11
especie7,64,93,78,20,5,6,8,10,15,17,40,50,33,4,13,7,13,14,7,10
especie7,65,88,71,19,6,6,8,9,15,17,39,48,31,4,14,7,12,12,6,12
especie7,66,80,70,18,5,6,7,7,15,15,37,45,29,4,12,6,12,13,7,9
especie7,67,87,74,17,5,6,7,7,17,15,35,47,30,4,13,6,11,13,6,11
especie7,68,81,70,18,6,6,7,7,15,14,34,44,28,4,12,6,12,12,7,11
especie7,69,86,73,17,4,5,7,7,15,17,34,46,30,4,3,5,10,13,6,11
especie7,70,88,74,18,5,6,7,7,16,16,38,49,30,2,14,6,12,14,8,12
especie7,71,82,69,17,5,6,7,7,17,12,36,45,27,4,11,6,14,12,6,10
especie7,72,78,64,17,5,5,7,7,14,14,33,42,27,4,12,6,12,10,6,12
especie7,73,88,75,18,5,5,7,7,14,16,36,49,32,4,13,6,15,12,6,10
especie7,74,86,75,19,5,6,7,8,15,17,39,52,30,4,14,7,12,14,6,12
especie7,75,82,70,18,5,7,7,8,15,15,35,43,28,4,12,6,12,11,6,11
especie7,76,88,72,18,5,6,8,8,17,17,40,48,31,4,13,5,12,14,7,10
especie7,77,85,74,18,5,6,7,7,16,15,40,48,30,4,13,5,13,14,7,11
especie7,78,85,70,17,6,5,8,8,13,16,35,47,30,4,13,5,13,12,7,10
especie7,79,91,78,19,5,6,9,9,17,16,39,50,31,4,12,6,12,12,6,9
especie7,80,87,74,19,5,6,8,8,13,12,37,49,32,4,14,6,11,12,7,12
especie7,81,88,73,19,5,6,7,8,16,15,37,48,32,4,12,6,12,13,6,13
especie7,82,102,87,21,6,7,10,9,18,19,45,56,37,4,15,8,14,15,7,13
especie7,83,90,75,19,5,6,8,8,17,17,37,45,32,4,12,6,12,14,7,13
especie7,84,90,76,19,5,5,8,8,15,17,37,48,32,4,13,7,12,13,7,12
especie7,85,85,77,19,6,6,8,8,17,16,38,50,33,4,14,6,14,14,8,12
especie7,86,90,75,19,5,6,7,8,16,17,38,48,34,4,12,6,14,14,7,12
especie7,87,76,66,17,6,5,7,7,15,16,34,44,30,4,13,6,11,12,6,10
especie7,88,87,72,19,5,6,7,7,16,14,35,48,31,4,13,5,12,13,6,11
especie7,89,86,72,17,5,6,7,9,16,13,36,47,30,4,12,7,12,12,7,10
especie7,90,83,70,17,5,6,8,7,15,15,36,44,28,4,12,6,12,13,6,11
especie7,91,80,66,17,5,5,7,7,14,17,33,42,28,4,12,5,12,13,6,12
especie7,92,97,82,21,6,6,9,9,18,17,42,51,35,4,13,6,14,15,7,12
especie7,93,83,69,17,5,5,7,7,14,18,36,44,30,4,12,6,12,13,7,10
especie7,94,90,74,18,5,5,8,7,16,18,40,50,33,4,14,6,13,13,7,11
especie7,95,98,82,20,6,6,9,9,17,18,41,53,36,4,14,7,12,12,7,12
especie7,96,86,72,18,6,5,8,7,15,16,35,46,31,4,13,6,13,13,7,12
especie7,97,90,75,18,5,6,8,7,17,17,37,50,32,4,13,6,12,13,7,12
especie7,98,84,70,16,5,5,6,7,16,15,39,45,30,4,12,5,11,11,6,11
especie7,99,84,70,18,5,5,7,7,15,16,39,45,29,4,9,6,11,14,7,11
especie7,100,95,80,19,6,6,9,9,18,17,39,50,35,4,13,7,13,14,7,12
