especie,org,long_total,long_estandar,long_cefalica,diam_ojo,long_hocico,long_mandibular,long_postorbital,long_pedunculo_caudal,Long_base_aleta_anal,dist_hocico_1a_aleta_dorsal,dist_hocico_2a_aleta_dorsal,dist_hocico_aleta_pelvica,long_base_aleta_pelvica,alt_máxima_cuerpo,alt_min_pedunculo_caudal,alt_aleta_anal,alt_aleta_pectoral,alt_1a_aleta_dorsal,alt_2a_aleta_dorsal
especie1,70,120,99,28,7,10,12,12,22,21,54,69,47,5,20,8,16,18,10,16
especie1,71,123,102,29,7,9,13,13,21,20,55,70,47,5,21,9,16,18,10,16
especie1,72,121,102,27,7,9,12,12,21,22,53,66,45,5,20,9,15,19,11,16
especie1,73,120,100,26,7,10,13,12,21,22,53,67,47,5,21,9,14,18,10,14
especie1,74,121,100,27,7,9,12,12,20,22,52,66,44,5,19,8,14,17,10,16
especie1,75,125,104,28,7,8,12,12,21,21,55,70,46,5,21,9,16,18,10,15
especie1,76,120,100,26,7,9,12,11,21,19,52,65,46,4,18,8,19,17,10,15
especie1,77,115,98,26,7,9,12,12,21,19,51,63,44,4,19,7,15,18,8,15
especie1,78,130,112,30,8,10,13,13,23,23,60,74,51,4,22,9,15,19,9,15
especie1,79,115,97,26,7,9,12,12,20,19,63,65,44,4,18,7,14,18,7,13
especie1,80,123,103,28,7,8,11,12,20,19,55,69,46,5,21,9,15,17,8,14
especie1,81,115,96,26,7,10,9,11,20,22,51,64,42,5,18,8,14,18,10,15
especie1,82,126,105,29,8,10,12,12,22,22,58,72,47,4,20,9,11,19,9,14
especie1,83,130,110,29,8,10,13,13,22,23,58,72,52,5,9,7,15,18,8,14
especie1,84,123,103,28,8,9,13,11,21,22,52,68,49,4,18,8,13,17,8,13
especie1,85,133,112,32,7,10,11,13,23,22,61,74,49,5,20,8,16,20,11,17
especie1,86,130,110,29,8,10,13,13,23,22,61,73,48,4,21,7,17,19,8,16
especie1,87,127,107,28,7,9,13,12,23,23,59,74,46,4,22,8,16,18,10,16
especie1,88,130,109,29,7,10,13,13,21,21,61,74,49,5,22,9,17,21,10,15
especie1,89,130,110,30,30,7,10,13,13,21,61,76,48,6,22,8,17,20,9,15
especie1,90,118,102,27,7,9,12,11,20,22,54,70,43,5,21,9,14,19,10,15
especie1,91,132,112,30,7,10,14,13,23,24,61,76,51,4,20,8,16,21,11,18
especie1,92,201,175,54,11,14,21,24,27,35,96,117,83,6,34,13,22,30,13,23
especie1,24,113,98,28,7,8,14,14,22,20,54,67,42,5,19,7,14,19,8,13
especie1,39,118,89,23,6,8,10,10,20,20,52,62,41,5,17,8,12,18,7,14
especie2,1,155,130,39,8,15,16,17,23,24,77,92,59,4,24,12,20,23,10,19
especie2,2,123,113,31,7,12,13,13,20,21,59,72,47,3,20,10,17,19,9,16
especie2,3,166,139,42,9,15,18,18,26,29,79,94,67,3,28,13,23,26,9,20
especie2,4,110,92,26,6,10,11,12,18,20,53,63,40,2,17,8,16,17,8,15
especie2,5,117,89,24,6,9,10,11,18,20,49,60,38,2,17,8,15,17,8,14
especie2,6,107,88,25,6,10,11,11,17,17,49,61,39,2,17,8,13,16,7,13
especie2,7,155,130,39,8,14,17,18,25,27,75,88,59,3,25,11,21,21,11,19
especie2,8,152,126,40,9,15,18,17,25,25,73,87,61,3,23,11,21,22,11,18
especie2,9,99,82,23,5,8,10,10,19,16,47,58,35,3,17,7,13,14,6,12
especie2,10,148,131,40,9,15,17,17,27,25,76,90,60,6,25,12,22,26,10,16
especie2,11,95,77,23,6,8,10,10,16,16,43,54,34,4,16,8,14,16,8,13
especie2,12,155,132,38,8,14,17,17,25,27,74,91,61,5,25,13,21,25,13,20
